UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY0,CMP1AY0,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,CMP1GTD,XCMP2AY0,CMP2AY0,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,CMP2GTD,XCMP3AY0,CMP3AY0,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CMP3GTD 
176071,R,2300,R,412,R,115,A,.,R,2300,R,412,R,115,A,.,R,4146,R,412,R,192,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1580,R,372,R,1952,R,1800,R,412,R,2212,R,2300,R,412,R,2712,R,2300,R,412,R,2712,.,.,R,1580,R,372,R,1952,R,1800,R,412,R,2212,R,2300,R,412,R,2712,R,2300,R,412,R,2712,.,.,R,3426,R,372,R,3798,R,3646,R,412,R,4058,R,4146,R,412,R,4558,R,4146,R,412,R,4558,.,.,R,0,R,0,R,0,R,0,R,3770,R,3770,R,3810,R,3810,R,3090,R,3090,R,3090,R,3090,R,8100,R,8100,R,9000,R,9000,R,5268,R,5268,R,5290,R,5290,R,5240,R,5240,R,5290,R,5290,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176080,R,5805,R,0,R,242,A,.,R,5805,R,0,R,242,A,.,R,14670,R,0,R,612,A,.,R,5805,R,0,R,323,R,5805,R,0,R,323,R,14670,R,0,R,815,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,13909,R,1657,R,35421,R,1657,Y,.,Y,.,Y,.,Y,.,R,5151,R,0,R,5151,R,5151,R,0,R,5151,R,5461,R,0,R,5461,R,5805,R,0,R,5805,.,.,R,5151,R,0,R,5151,R,5151,R,0,R,5151,R,5461,R,0,R,5461,R,5805,R,0,R,5805,.,.,R,12503,R,0,R,12503,R,13021,R,0,R,13021,R,13801,R,0,R,13801,R,14670,R,0,R,14670,.,.,R,1000,R,1200,R,1200,R,1200,R,7333,R,7520,R,7729,R,8162,R,3313,R,4000,R,4808,R,4808,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176169,R,2100,R,30,R,117,A,.,R,2100,R,30,R,117,A,.,R,4030,R,30,R,222,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1890,R,30,R,1920,R,1890,R,30,R,1920,R,2100,R,30,R,2130,R,2100,R,30,R,2130,.,.,R,1890,R,30,R,1920,R,1890,R,30,R,1920,R,2100,R,30,R,2130,R,2100,R,30,R,2130,.,.,R,3820,R,30,R,3850,R,3820,R,30,R,3850,R,4030,R,30,R,4060,R,4030,R,30,R,4060,.,.,R,900,R,900,R,1250,R,1250,R,3321,R,3321,R,3428,R,3428,R,2750,R,2750,R,3108,R,3108,R,4770,R,4770,R,6672,R,6672,R,3907,R,3907,R,4300,R,4300,R,5907,R,5907,R,6934,R,6934,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176178,R,1950,R,0,R,85,A,.,R,1950,R,0,R,85,A,.,R,3950,R,0,R,165,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1700,R,0,R,1700,R,1700,R,0,R,1700,R,1950,R,0,R,1950,R,1950,R,0,R,1950,.,.,R,1700,R,0,R,1700,R,1700,R,0,R,1700,R,1950,R,0,R,1950,R,1950,R,0,R,1950,.,.,R,3700,R,0,R,3700,R,3700,R,0,R,3700,R,3950,R,0,R,3950,R,3950,R,0,R,3950,.,.,R,1000,R,1100,R,1200,R,1000,R,2850,R,3050,R,3050,R,2575,R,2100,R,2100,R,3760,R,4385,R,3000,R,3500,R,3500,R,3500,R,2200,R,2500,R,3310,R,3310,R,1850,R,1850,R,2500,R,5500,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176239,R,2000,R,180,R,100,A,.,R,2000,R,180,R,100,A,.,R,4398,R,180,R,200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1700,R,100,R,1800,R,1700,R,180,R,1880,R,2000,R,180,R,2180,R,2000,R,180,R,2180,.,.,R,1700,R,100,R,1800,R,1700,R,180,R,1880,R,2000,R,180,R,2180,R,2000,R,180,R,2180,.,.,R,4098,R,100,R,4198,R,4098,R,180,R,4278,R,4398,R,180,R,4578,R,4398,R,180,R,4578,.,.,R,500,R,500,R,500,R,500,R,3800,R,3800,R,3900,R,3900,R,300,R,300,R,300,R,300,R,3000,R,3000,R,3000,R,3000,R,500,R,500,R,500,R,500,R,500,R,500,R,500,R,500,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176318,R,8100,R,0,R,346,A,.,R,8100,Z,0,R,346,A,.,R,8100,Z,0,R,346,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,7000,R,250,R,7250,R,7620,R,250,R,7870,R,7610,R,0,R,7610,R,8100,R,0,R,8100,.,.,R,7000,R,250,R,7250,R,7620,R,250,R,7870,R,7610,R,0,R,7610,R,8100,R,0,R,8100,.,.,R,7000,R,250,R,7250,R,7620,R,250,R,7870,R,7610,R,0,R,7610,R,8100,R,0,R,8100,.,.,R,250,R,250,R,250,R,250,R,3120,R,3600,R,3320,R,3700,R,3000,R,3000,R,2200,R,2450,R,4900,R,4900,R,4400,R,4400,R,3100,R,3100,R,2600,R,2850,R,3700,R,3700,R,4200,R,4450,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176336,R,4500,R,90,R,200,A,.,R,4500,R,90,R,200,A,.,R,4500,R,90,R,200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,4250,R,50,R,4300,R,4250,R,50,R,4300,R,4500,R,50,R,4550,R,4500,R,90,R,4590,.,.,R,4250,R,50,R,4300,R,4250,R,50,R,4300,R,4500,R,50,R,4550,R,4500,R,90,R,4590,.,.,R,4250,R,50,R,4300,R,4250,R,50,R,4300,R,4500,R,50,R,4550,R,4500,R,90,R,4590,.,.,R,800,R,800,R,800,R,800,R,1600,R,1600,R,1600,R,1600,R,800,R,800,R,800,R,800,R,1600,R,1600,R,1600,R,1600,R,750,R,750,R,750,R,750,R,750,R,750,R,750,R,750,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176354,R,1950,R,140,R,100,A,.,R,1950,R,140,R,100,A,.,R,4650,R,140,R,215,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1700,R,100,R,1800,R,1700,R,100,R,1800,R,1950,R,140,R,2090,R,1950,R,140,R,2090,.,.,R,1700,R,100,R,1800,R,1700,R,100,R,1800,R,1950,R,140,R,2090,R,1950,R,140,R,2090,.,.,R,4400,R,100,R,4500,R,4400,R,100,R,4500,R,4650,R,140,R,4790,R,4650,R,140,R,4790,.,.,R,700,R,700,R,800,R,800,R,3000,R,3000,R,3000,R,3000,R,3950,R,3950,R,4150,R,4150,R,3400,R,3400,R,3400,R,3400,R,6950,R,6950,R,7150,R,7150,R,3950,R,3950,R,4150,R,4150,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176372,R,5834,R,0,R,244,A,.,R,5834,R,0,R,244,A,.,R,13790,R,0,R,576,A,.,R,5834,R,0,R,325,R,5834,R,0,R,325,R,13790,R,0,R,767,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,5096,R,0,R,5096,R,5096,R,0,R,5096,R,5452,R,0,R,5452,R,5834,R,0,R,5834,.,.,R,5096,R,0,R,5096,R,5096,R,0,R,5096,R,5452,R,0,R,5452,R,5834,R,0,R,5834,.,.,R,12746,R,0,R,12746,R,12746,R,0,R,12746,R,13408,R,0,R,13408,R,13790,R,0,R,13790,.,.,R,1200,R,1400,R,1400,R,1400,R,5544,R,6200,R,6634,R,6634,R,3804,R,4314,R,4314,R,4558,R,7480,R,8482,R,8800,R,8800,R,4804,R,5314,R,5314,R,5558,R,4804,R,5314,R,5314,R,5558,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176406,R,9740,R,477,R,406,A,.,R,9740,R,477,R,406,A,.,R,9740,R,477,R,406,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9240,R,478,R,9718,R,9240,R,478,R,9718,R,9240,R,478,R,9718,R,9740,R,478,R,10218,.,.,R,9240,R,478,R,9718,R,9240,R,478,R,9718,R,9240,R,478,R,9718,R,9740,R,478,R,10218,.,.,R,9240,R,478,R,9718,R,9240,R,478,R,9718,R,9240,R,478,R,9718,R,9740,R,478,R,10218,.,.,R,1300,R,1300,R,1300,R,1300,R,6330,R,6330,R,6330,R,6330,R,2900,R,2900,R,2900,R,2900,R,5700,R,5700,R,5700,R,5700,R,3000,R,3000,R,3000,R,3000,R,2900,R,2900,R,2900,R,2900,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176451,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9000,R,360,R,360,R,9000,R,360,R,360,R,9000,R,360,R,360,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176479,R,9750,R,600,R,325,A,.,R,9750,R,600,R,325,A,.,R,9750,R,600,R,325,A,.,R,7440,R,0,R,310,R,7440,Z,0,R,310,R,7440,Z,0,R,310,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,38000,R,0,R,38000,R,0,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,9300,R,450,R,9750,R,9300,R,450,R,9750,R,9750,R,600,R,10350,R,9750,R,600,R,10350,.,.,R,9300,R,450,R,9750,R,9300,R,450,R,9750,R,9750,R,600,R,10350,R,9750,R,600,R,10350,.,.,R,9300,R,450,R,9750,R,9300,R,450,R,9750,R,9750,R,600,R,10350,R,9750,R,600,R,10350,.,.,R,2850,R,2850,R,2850,R,2850,R,4815,R,4920,R,4920,R,4920,R,5802,R,5802,R,5802,R,5802,R,4815,R,4920,R,4920,R,4920,R,5802,R,5802,R,5802,R,5802,R,5802,R,5802,R,5802,R,5802,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176600,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,15360,R,390,R,640,R,15360,R,390,R,640,R,15360,R,390,R,640,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176619,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,12672,R,0,R,528,R,12672,Z,0,R,528,R,12672,Z,0,R,528,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176628,R,22250,R,850,R,565,A,.,R,22250,R,850,R,565,A,.,R,22250,R,850,R,565,A,.,R,8190,R,540,R,455,R,8190,R,540,R,455,R,8190,R,540,R,455,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,19500,R,650,R,20150,R,20250,R,650,R,20900,R,21050,R,850,R,21900,R,22250,R,850,R,23100,.,.,R,19500,R,650,R,20150,R,20250,R,650,R,20900,R,21050,R,850,R,21900,R,22250,R,850,R,23100,.,.,R,19500,R,650,R,20150,R,20250,R,650,R,20900,R,21050,R,850,R,21900,R,22250,R,850,R,23100,.,.,R,1100,R,1300,R,1600,R,1600,R,5900,R,6100,R,6350,R,6550,R,3000,R,3600,R,3744,R,3856,R,6300,R,6600,R,6968,R,6968,R,4300,R,4800,R,5616,R,5728,R,5800,R,6100,R,6344,R,6456,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176637,R,17748,R,300,R,493,A,.,R,17748,R,300,R,493,A,.,R,17748,R,300,R,493,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,16056,R,300,R,16356,R,16848,R,300,R,17148,R,17748,R,300,R,18048,R,17748,R,300,R,18048,.,.,R,16056,R,300,R,16356,R,16848,R,300,R,17148,R,17748,R,300,R,18048,R,17748,R,300,R,18048,.,.,R,16056,R,300,R,16356,R,16848,R,300,R,17148,R,17748,R,300,R,18048,R,17748,R,300,R,18048,.,.,R,0,R,0,R,0,R,0,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6732,R,7119,R,7121,R,7121,R,3687,R,3745,R,3840,R,3955,R,3687,R,3745,R,3840,R,3955,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176664,R,6720,R,200,R,210,A,.,R,6720,R,200,R,210,A,.,R,6720,R,200,R,210,A,.,R,3680,R,200,R,230,R,3680,R,200,R,230,R,3680,R,200,R,230,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13610,R,0,R,13610,R,13610,R,100,R,13710,R,6400,R,200,R,6600,R,6720,R,200,R,6920,.,.,R,13610,R,0,R,13610,R,13610,R,100,R,13710,R,6400,R,200,R,6600,R,6720,R,200,R,6920,.,.,R,13610,R,0,R,13610,R,13610,R,100,R,13710,R,6400,R,200,R,6600,R,6720,R,200,R,6920,.,.,R,840,R,840,R,840,R,840,R,5400,R,5400,R,5400,R,5400,R,2800,R,2800,R,2800,R,2800,R,5000,R,5000,R,5000,R,5000,R,2800,R,2800,R,2800,R,2800,R,6600,R,7800,R,7800,R,7800,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176770,R,10487,R,1425,R,348,A,.,R,10487,R,1425,R,348,A,.,R,10487,R,1425,R,348,A,.,R,2790,R,319,R,464,R,2790,R,319,R,464,R,2790,R,319,R,464,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9724,R,1365,R,11089,R,9724,R,1365,R,11089,R,10152,R,1425,R,11577,R,10440,R,1495,R,11935,.,.,R,9724,R,1365,R,11089,R,9724,R,1365,R,11089,R,10152,R,1425,R,11577,R,10440,R,1495,R,11935,.,.,R,9724,R,1365,R,11089,R,9724,R,1365,R,11089,R,10152,R,1425,R,11577,R,10440,R,1495,R,11935,.,.,R,1200,R,1200,R,1400,R,1500,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8250,R,8250,R,8550,R,8800,R,3500,R,3500,R,3800,R,4050,R,3500,R,3500,R,3800,R,4050,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176789,R,9600,R,768,R,300,A,.,R,9600,R,768,R,300,A,.,R,9600,R,768,R,300,A,.,R,5680,R,516,R,320,R,5680,R,516,R,320,R,5680,R,516,R,320,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8640,R,792,R,9432,R,8960,R,768,R,9728,R,9280,R,768,R,10048,R,9600,R,768,R,10368,.,.,R,8640,R,792,R,9432,R,8960,R,768,R,9728,R,9280,R,768,R,10048,R,9600,R,768,R,10368,.,.,R,8640,R,792,R,9432,R,8960,R,768,R,9728,R,9280,R,768,R,10048,R,9600,R,768,R,10368,.,.,R,500,R,500,R,500,R,500,R,4400,R,4400,R,4400,R,4500,R,3262,R,3262,R,3061,R,3061,R,9081,R,9081,R,9081,R,9081,R,5904,R,5904,R,5904,R,5904,R,4113,R,4113,R,4113,R,4113,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
176910,R,9600,R,3600,R,300,A,.,R,9600,R,3600,R,300,A,.,R,9600,R,3600,R,300,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8800,R,1300,R,10100,R,8800,R,1540,R,10340,R,9600,R,3600,R,13200,R,9600,R,3600,R,13200,.,.,R,8800,R,1300,R,10100,R,8800,R,1540,R,10340,R,9600,R,3600,R,13200,R,9600,R,3600,R,13200,.,.,R,8800,R,1300,R,10100,R,8800,R,1540,R,10340,R,9600,R,3600,R,13200,R,9600,R,3600,R,13200,.,.,R,832,R,748,R,1042,R,1192,R,8715,R,6925,R,6565,R,6064,R,3716,R,3562,R,6424,R,5885,R,9152,R,8458,R,12425,R,11663,R,9270,R,8347,R,9747,R,10974,R,9270,R,8347,R,9747,R,10974,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.,A,.,A,.,A,.,A,.,.
